Item:,,Quantity,Link
Stepper Motor,,5,https://www.alibaba.com/product-detail/In-Stock-Nema-17-Series-Stepper_1601591409490.html?spm=a2700.prosearch.normal_offer.d_image.1ff267afteVjev&selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=78b34dbe7062419fad29ec54b1019c7b
Stepper Motor Addon,,5,https://www.alibaba.com/product-detail/Customizable-OEM-Aluminium-Motor-Shaft-Coupling_1601520888369.html?spm=a2700.prosearch.normal_offer.d_image.4bbf67af5T0fsV&priceId=a2dda37d47934efebe53457f135700f4
Stepper Motor Mount ,,5,https://www.alibaba.com/product-detail/42-Steppr-Motor-L-Type-NEMA_1600906641190.html?spm=a2700.prosearch.normal_offer.d_image.63f967af9w8pxZ&priceId=55ed8a091cb74387a3b6e16338f895cb
TMC2209 Driver,,5,https://www.alibaba.com/product-detail/BIGTREETECH-TMC2209-V1-3-Driver-Module_1601391754682.html?spm=a2700.prosearch.normal_offer.d_image.71de67afMDrpUu&priceId=add56c3167ad43c7baa32d145dcf4208
Capacitors,,5,https://www.amazon.com/10x12-5mm-Electrolytic-Capacitor-Aluminum-Capacitors/dp/B0F8BZVBKF/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.N8vNRpHACxhoqJTFrYQhPj4QXpHz5A967wfxn9eI2Z6MM9tblT-xRyLrZB4raHOUUkZOq3Bfm1AgNLR4ZDejmTnxzlmg7J9utrJCUQOUd1uFdk3e0xfGWCBMsjEdFtqkx39YoqZJyrkWjIDeH2wASmyGWMSU4v04AL6Bdb7LZnN1Pfd99MIPomS-9Y2appYSavbLTiyD9dnLoEwke_DEsa1iGt4P8rCndf5NWrrVSDcV1u7-XCYCiyAAeLxgqnpvh0gpRBh0t4Muze8klT2BdB2A5W66Sssp0odA8KvDbNQ.2Bm5bNTeat8Pl_7W-dzlfLKQ3kxm-xNDZ0X3O_GL9bE&dib_tag=se&keywords=%E2%80%9C470uF%2B25V%2Belectrolytic%2Bcapacitor%2Bpack%E2%80%9D&qid=1778804455&s=industrial&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Battery,,5,https://www.alibaba.com/product-detail/5V-9V-12V-15V-19V-24V_1601006928195.html?spm=a2700.prosearch.normal_offer.d_image.6a6767afJRBgT7&priceId=b47577d2c0a2408892c320da78efcae3
Ultrasonic Sensors,,2,https://www.alibaba.com/product-detail/Dongheng-HC-SR04-SR04P-Ultrasonic-Sensor_1601517733464.html?spm=a2700.prosearch.normal_offer.d_image.351f67afC02bTF&priceId=76edc960c44544739411eaf3dade3432
Elego Uno R3 ,,9,https://www.alibaba.com/product-detail/Hot-Sale-SET-R3-Development-Board_1601568886149.html?spm=a2700.prosearch.normal_offer.d_image.6ac767af3dhOm1&priceId=2c175ed65c3a404cbe1ecf7fa3a52dea
Wires ,,240,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_1_sspa?crid=LZ9H8P6W0KS5&dib=eyJ2IjoiMSJ9.7jge37O58WUj69JbD2G9VFSxS_ph4Q4kg3vazAvmcSWJL2qG_XeXjkvXGDlien9Kqu00my2ZOY7jU2O7G3o5HX0djTk5YMhbv-WfVD-IxOIX6ZmiiyL7Dni3etsNqv3sI1glL7-1lPFZjBknSKOuAQ_Tdhf0fwyupV6EkObpgAUuqTX61lcpr5jkj5G76YYioYHLIwYRfVfb-m5tSQayU7JHLlF3DhY1oBHj5PnRrAiaqHd6SpiE7dHt4rxkMa0KIifxuBweoq5v8bzq8CqJ3uv6SZ9etKOEW2Y6HKVqQZ4.S_X5d81x7bZLNghKJgO_PLnRBDV8USs-aV6WGhnMLAY&dib_tag=se&keywords=jumper+wire+kit&qid=1777331957&s=industrial&sprefix=jumper+wire+k%2Cindustrial%2C423&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Breadboards,,9,https://www.alibaba.com/product-detail/400-Tie-Points-Solderless-8-5CM_1601199302687.html?spm=a2700.prosearch.normal_offer.d_image.723567afe4C2h4&selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=e9873118ef7543d083dd8f24e0b1a7ec
